"","Session","time","Time.minsec","Description","Focus","Large.Head.Movement","Activity","Social.Plane"
"648","20141128_Wendy_baseline2",3240000,"54m0s","","","","",""
"655","20141128_Wendy_baseline2",3275000,"54m35s","","","","",""
"671","20141128_Wendy_baseline2",3355000,"55m55s","","","","",""
"674","20141128_Wendy_baseline2",3370000,"56m10s","","","","",""
"683","20141128_Wendy_baseline2",3415000,"56m55s","","","","",""
"698","20141128_Wendy_baseline2",3490000,"58m10s","","","","",""
"7241","20141128_Wendy_baseline2",3620000,"60m20s","","","","",""
"727","20141128_Wendy_baseline2",3635000,"60m35s","","","","",""
"728","20141128_Wendy_baseline2",3640000,"60m40s","","","","",""
"735","20141128_Wendy_baseline2",3675000,"61m15s","","","","",""
"738","20141128_Wendy_baseline2",3690000,"61m30s","","","","",""
"745","20141128_Wendy_baseline2",3725000,"62m5s","","","","",""
"748","20141128_Wendy_baseline2",3740000,"62m20s","","","","",""
"766","20141128_Wendy_baseline2",3830000,"63m50s","","","","",""
"796","20141128_Wendy_baseline2",3980000,"66m20s","","","","",""
"810","20141128_Wendy_baseline2",4050000,"67m30s","","","","",""
"827","20141128_Wendy_baseline2",4135000,"68m55s","","","","",""
"838","20141128_Wendy_baseline2",4190000,"69m50s","","","","",""
