"","Session","time","Time.minsec","Description","Focus","Large.Head.Movement","Activity","Social.Plane"
"580","20141021_Patrick_Session2",2900000,"48m20s","","","","",""
"582","20141021_Patrick_Session2",2910000,"48m30s","","","","",""
"585","20141021_Patrick_Session2",2925000,"48m45s","","","","",""
"586","20141021_Patrick_Session2",2930000,"48m50s","","","","",""
"587","20141021_Patrick_Session2",2935000,"48m55s","","","","",""
"600","20141021_Patrick_Session2",3e+06,"50m0s","","","","",""
"654","20141021_Patrick_Session2",3270000,"54m30s","","","","",""
"656","20141021_Patrick_Session2",3280000,"54m40s","","","","",""
"663","20141021_Patrick_Session2",3315000,"55m15s","","","","",""
"664","20141021_Patrick_Session2",3320000,"55m20s","","","","",""
"665","20141021_Patrick_Session2",3325000,"55m25s","","","","",""
"683","20141021_Patrick_Session2",3415000,"56m55s","","","","",""
"684","20141021_Patrick_Session2",3420000,"57m0s","","","","",""
"690","20141021_Patrick_Session2",3450000,"57m30s","","","","",""
"698","20141021_Patrick_Session2",3490000,"58m10s","","","","",""
"701","20141021_Patrick_Session2",3505000,"58m25s","","","","",""
"713","20141021_Patrick_Session2",3565000,"59m25s","","","","",""
"726","20141021_Patrick_Session2",3630000,"60m30s","","","","",""
"774","20141021_Patrick_Session2",3870000,"64m30s","","","","",""
"781","20141021_Patrick_Session2",3905000,"65m5s","","","","",""
"791","20141021_Patrick_Session2",3955000,"65m55s","","","","",""
"621","20141021_Kshitij_Session3",310000,"5m10s","","","","",""
"70","20141021_Kshitij_Session3",350000,"5m50s","","","","",""
"711","20141021_Kshitij_Session3",355000,"5m55s","","","","",""
"961","20141021_Kshitij_Session3",480000,"8m0s","","","","",""
"107","20141021_Kshitij_Session3",535000,"8m55s","","","","",""
"110","20141021_Kshitij_Session3",550000,"9m10s","","","","",""
"116","20141021_Kshitij_Session3",580000,"9m40s","","","","",""
"117","20141021_Kshitij_Session3",585000,"9m45s","","","","",""
"141","20141021_Kshitij_Session3",705000,"11m45s","","","","",""
"1471","20141021_Kshitij_Session3",735000,"12m15s","","","","",""
"152","20141021_Kshitij_Session3",760000,"12m40s","","","","",""
"203","20141021_Kshitij_Session3",1015000,"16m55s","","","","",""
"2061","20141021_Kshitij_Session3",1030000,"17m10s","","","","",""
"2221","20141021_Kshitij_Session3",1110000,"18m30s","","","","",""
"233","20141021_Kshitij_Session3",1165000,"19m25s","","","","",""
"234","20141021_Kshitij_Session3",1170000,"19m30s","","","","",""
"252","20141021_Kshitij_Session3",1260000,"21m0s","","","","",""
"253","20141021_Kshitij_Session3",1265000,"21m5s","","","","",""
"2581","20141021_Kshitij_Session3",1290000,"21m30s","","","","",""
"276","20141021_Kshitij_Session3",1380000,"23m0s","","","","",""
"2791","20141021_Kshitij_Session3",1395000,"23m15s","","","","",""
"300","20141021_Kshitij_Session3",1500000,"25m0s","","","","",""
"308","20141021_Kshitij_Session3",1540000,"25m40s","","","","",""
"327","20141021_Kshitij_Session3",1635000,"27m15s","","","","",""
"3301","20141021_Kshitij_Session3",1650000,"27m30s","","","","",""
"342","20141021_Kshitij_Session3",1710000,"28m30s","","","","",""
"352","20141021_Kshitij_Session3",1760000,"29m20s","","","","",""
"354","20141021_Kshitij_Session3",1770000,"29m30s","","","","",""
"372","20141021_Kshitij_Session3",1860000,"31m0s","","","","",""
"393","20141021_Kshitij_Session3",1965000,"32m45s","","","","",""
"413","20141021_Kshitij_Session3",2065000,"34m25s","","","","",""
"4281","20141021_Kshitij_Session3",2140000,"35m40s","","","","",""
"4291","20141021_Kshitij_Session3",2145000,"35m45s","","","","",""
"4381","20141021_Kshitij_Session3",2190000,"36m30s","","","","",""
"439","20141021_Kshitij_Session3",2195000,"36m35s","","","","",""
"442","20141021_Kshitij_Session3",2210000,"36m50s","","","","",""
"443","20141021_Kshitij_Session3",2215000,"36m55s","","","","",""
"448","20141021_Kshitij_Session3",2240000,"37m20s","","","","",""
"4511","20141021_Kshitij_Session3",2255000,"37m35s","","","","",""
"455","20141021_Kshitij_Session3",2275000,"37m55s","","","","",""
"469","20141021_Kshitij_Session3",2345000,"39m5s","","","","",""
"515","20141021_Kshitij_Session3",2575000,"42m55s","","","","",""
"554","20141021_Kshitij_Session3",2770000,"46m10s","","","","",""
"555","20141021_Kshitij_Session3",2775000,"46m15s","","","","",""
"5561","20141021_Kshitij_Session3",2780000,"46m20s","","","","",""
"567","20141021_Kshitij_Session3",2835000,"47m15s","","","","",""
"572","20141021_Kshitij_Session3",2860000,"47m40s","","","","",""
