Trial,Subject,Color,Stimulus,Start Time [ms],End Time [ms],Saccade Start [ms],Saccade Duration [ms],Saccade End [ms],StartPosition X,StartPosition Y,EndPosition X,EndPosition Y,Amplitude [°],Acceleration  Average [°/s²],Acceleration  Peak [°/s²],Deceleration  Peak [°/s²],Velocity  Average [°/s],Velocity  Peak [°/s],Peak Velocity at [%],Eye,Number,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,32768,66,32835,632.5,257.3,684.7,257.6,4.2,-,-,-,-,-,-,Binocular,108,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,32835,66,32901,738.1,248.4,462.6,225.3,15.2,-,-,-,-,-,-,Binocular,109,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,32901,66,32967,374.1,226.5,164.4,189.9,13.9,-,-,-,-,-,-,Binocular,110,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,33067,99,33167,324.8,197.0,317.3,157.7,13.9,-,-,-,-,-,-,Binocular,111,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,33599,66,33665,495.2,167.1,506.5,174.5,1.0,-,-,-,-,-,-,Binocular,112,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,33765,99,33865,524.4,183.8,546.5,177.7,4.7,-,-,-,-,-,-,Binocular,113,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,33998,66,34065,582.3,185.2,631.1,171.7,2.6,-,-,-,-,-,-,Binocular,114,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,34165,99,34264,564.0,120.5,538.2,255.5,30.1,-,-,-,-,-,-,Binocular,115,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,34298,66,34364,450.0,231.3,285.6,351.0,11.4,-,-,-,-,-,-,Binocular,116,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,34863,66,34930,1045.0,359.3,1467.0,491.2,38.8,-,-,-,-,-,-,Binocular,117,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,35063,66,35129,1313.7,424.6,1092.4,263.1,17.4,-,-,-,-,-,-,Binocular,118,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,35129,66,35196,1056.8,255.8,1265.8,476.2,15.7,-,-,-,-,-,-,Binocular,119,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,35262,100,35363,1049.6,359.1,896.3,627.7,46.0,-,-,-,-,-,-,Binocular,120,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,35462,66,35529,852.2,652.1,848.2,706.2,3.3,-,-,-,-,-,-,Binocular,121,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,35562,99,35662,800.5,708.4,668.3,636.8,22.5,-,-,-,-,-,-,Binocular,122,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,35796,65,35862,629.3,588.2,621.0,551.4,2.7,-,-,-,-,-,-,Binocular,123,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,36028,67,36095,603.4,390.8,701.0,298.9,8.8,-,-,-,-,-,-,Binocular,124,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,36294,66,36361,662.2,179.8,639.0,185.0,1.5,-,-,-,-,-,-,Binocular,125,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,36560,66,36627,743.1,218.7,772.5,274.4,3.7,-,-,-,-,-,-,Binocular,126,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,36627,66,36694,731.3,301.1,631.7,321.7,6.9,-,-,-,-,-,-,Binocular,127,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,36826,66,36893,626.1,411.7,614.0,447.0,2.8,-,-,-,-,-,-,Binocular,128,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,36926,66,36993,598.6,400.0,628.6,114.7,16.4,-,-,-,-,-,-,Binocular,129,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,37159,66,37226,717.6,9.6,700.6,-79.7,4.9,-,-,-,-,-,-,Binocular,130,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,37359,66,37425,725.1,-1.3,768.5,-38.9,3.1,-,-,-,-,-,-,Binocular,131,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,37459,66,37526,762.7,3.0,809.3,115.7,6.7,-,-,-,-,-,-,Binocular,132,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,37558,66,37625,753.5,141.7,694.5,243.9,7.7,-,-,-,-,-,-,Binocular,133,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,38125,65,38190,670.5,205.8,650.7,191.3,1.8,-,-,-,-,-,-,Binocular,134,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,38390,99,38490,683.7,159.7,723.6,138.3,5.1,-,-,-,-,-,-,Binocular,135,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,38657,99,38757,747.4,152.2,762.7,180.0,4.4,-,-,-,-,-,-,Binocular,136,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,38856,66,38923,757.0,186.9,746.9,187.4,0.6,-,-,-,-,-,-,Binocular,137,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,38990,65,39056,740.0,183.6,753.4,170.9,1.0,-,-,-,-,-,-,Binocular,138,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,39056,67,39124,767.5,170.0,980.3,123.9,10.3,-,-,-,-,-,-,Binocular,139,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,39289,66,39355,1042.0,116.7,1053.9,114.2,0.9,-,-,-,-,-,-,Binocular,140,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,39355,66,39422,1057.5,117.0,841.2,227.8,11.4,-,-,-,-,-,-,Binocular,141,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,39655,66,39721,855.7,200.7,855.3,214.1,0.9,-,-,-,-,-,-,Binocular,142,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,39788,66,39855,846.9,234.6,841.0,247.1,1.0,-,-,-,-,-,-,Binocular,143,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,39955,65,40021,821.2,254.1,814.4,267.7,1.1,-,-,-,-,-,-,Binocular,144,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,40092,61,40154,795.6,289.0,776.1,284.0,1.6,-,-,-,-,-,-,Binocular,145,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,40520,69,40589,741.0,304.2,767.4,319.7,1.7,-,-,-,-,-,-,Binocular,146,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,40653,66,40719,767.1,306.6,759.8,315.4,0.9,-,-,-,-,-,-,Binocular,147,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,40985,66,41052,738.9,307.4,738.6,319.4,0.7,-,-,-,-,-,-,Binocular,148,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,41119,66,41185,726.0,318.6,718.4,304.7,0.9,-,-,-,-,-,-,Binocular,149,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,41253,98,41351,709.9,290.3,673.2,273.2,6.6,-,-,-,-,-,-,Binocular,150,
Trial001,roland3,CornflowerBlue,roland3-1-recording.avi,0,2689599,42052,102,42154,671.4,230.2,664.9,200.5,3.1,-,-,-,-,-,-,Binocular,151,
