Trial,Subject,Color,Name,Stimulus,Start Time [ms],End Time [ms],Saccade Start [ms],Saccade Duration [ms],Saccade End [ms],StartPosition X,StartPosition Y,EndPosition X,EndPosition Y,Amplitude [°],Acceleration  Average [°/s²],Acceleration  Peak [°/s²],Deceleration  Peak [°/s²],Velocity  Average [°/s],Velocity  Peak [°/s],Peak Velocity at [%],Eye,Number,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,648840,99,648940,770.6,443.6,937.2,399.0,9.2,-,-,-,-,-,-,Binocular,2064,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,649206,66,649273,862.9,432.6,880.8,419.4,1.3,-,-,-,-,-,-,Binocular,2065,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,649373,99,649473,873.6,426.9,864.1,424.7,0.7,-,-,-,-,-,-,Binocular,2066,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,649672,99,649772,910.4,422.6,758.6,463.2,8.3,-,-,-,-,-,-,Binocular,2067,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,650005,133,650138,854.4,415.9,779.1,419.4,5.0,-,-,-,-,-,-,Binocular,2068,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,650171,66,650238,780.0,416.3,764.8,412.1,0.9,-,-,-,-,-,-,Binocular,2069,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,650304,66,650371,768.6,406.6,781.3,404.2,0.9,-,-,-,-,-,-,Binocular,2070,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,650471,99,650571,773.2,413.1,793.7,446.3,3.4,-,-,-,-,-,-,Binocular,2071,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,651136,66,651203,800.8,443.9,720.7,429.5,3.8,-,-,-,-,-,-,Binocular,2072,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,651336,133,651469,718.6,426.5,734.3,423.1,1.3,-,-,-,-,-,-,Binocular,2073,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,651802,66,651868,778.3,407.6,860.7,423.3,5.2,-,-,-,-,-,-,Binocular,2074,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,652101,66,652168,864.0,426.4,810.4,436.5,2.7,-,-,-,-,-,-,Binocular,2075,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,652434,66,652501,795.7,424.7,805.6,402.7,2.1,-,-,-,-,-,-,Binocular,2076,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,652833,66,652900,802.4,409.1,839.0,453.8,2.9,-,-,-,-,-,-,Binocular,2077,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,653133,66,653199,834.9,454.2,714.1,435.2,5.8,-,-,-,-,-,-,Binocular,2078,
Trial001,Participant 11-2-unified,Coral,Participant 11,participant 11-2-recording.avi,0,2828246,653333,99,653432,697.9,430.5,750.5,419.3,2.6,-,-,-,-,-,-,Binocular,2079,
